"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Complexity Analysis of EEG Signals Based on Fuzzy Entropy: Power Spectrum and Entropy Features Across Different Levels of Consciousness*","S. Zhang; T. Tao; S. Zhang; G. Xu; H. Li; K. Zhang","School of Mechanical Engineering, Xi’an Jiaotong University, Xi’an, China; School of Mechanical Engineering, Xi’an Jiaotong University, Xi’an, China; School of Mechanical Engineering, Xi’an Jiaotong University, Xi’an, China; School of Mechanical Engineering, Xi’an Jiaotong University, China; School of Mechanical Engineering, Xi’an Jiaotong University, Xi’an, China; Faillace Department of Psychiatry and Behavioral Sciences, McGovern Medical School, University of Texas Health Science Center at Houston, Houston, TX, USA",2025 47th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),"3 Dec 2025","2025","","","1","6","This study aims to investigate the complexity features of EEG signals under different levels of consciousness and uses the fuzzy entropy algorithm to analyze the resting-state EEG data of healthy subjects and patients with consciousness disorders. By calculating the power spectrum and fuzzy entropy of EEG signals, the study reveals the trends of changes in frequency domain and complexity as the level of consciousness decreases. The experimental results show significant differences in the power spectrum and fuzzy entropy between healthy subjects and patients with consciousness disorders, particularly in terms of energy distribution in low-frequency bands and EEG complexity. The findings suggest that fuzzy entropy can effectively distinguish patients with different consciousness levels and has potential applications in clinical diagnosis of consciousness disorders. Although a relatively basic fuzzy entropy algorithm was used in this study, the research methodology provides important insights for future EEG-based assessments of consciousness disorders.","2694-0604","979-8-3315-8618-8","10.1109/EMBC58623.2025.11251864","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11251864","EEG;fuzzy entropy;disorders of consciousness;power spectrum;complexity","Frequency-domain analysis;Market research;Entropy;Electroencephalography;Complexity theory;Clinical diagnosis;Engineering in medicine and biology","Humans;Electroencephalography;Entropy;Fuzzy Logic;Consciousness;Signal Processing, Computer-Assisted;Algorithms;Consciousness Disorders;Male;Adult;Female","","","21","IEEE","3 Dec 2025","14-18 July 2025","14-18 July 2025","IEEE","IEEE Conferences"
"Binary State Prediction of Sleep or Wakefulness Using EEG and EOG Features","R. A. Ganesan; R. Jain","Department of Electrical Engineering, Indian Institute of Science, Bengaluru, India; Department of Electrical Engineering, Indian Institute of Science, Bengaluru, India",2020 IEEE 17th India Council International Conference (INDICON),"5 Feb 2021","2020","","","1","7","Features extracted from the electrooculogram (EOG) or electroencephalogram (EEG) are able to distinguish between waking and sleeping states of a person with 95.2% and 97.5% accuracy, respectively. Sleep EEG data of eight subjects from the Physionet database have been analyzed using 8th order autoregressive model and the model parameters have been used as features, along with Higuchi fractal dimension and sample entropy. Independently, features derived from EOG such as power in a particular band of frequencies and sum of absolute differences were also used. A combination of all these features obtains the maximum accuracy of 98% using 10-fold cross-validation, employing a support vector machine classifier with radial basis function as kernel. Knowing whether a person is awake or asleep is extremely important before presenting sensory stimuli to the patients with disorders of consciousness as a part of neurorehabilitation.","2325-9418","978-1-7281-6916-3","10.1109/INDICON49873.2020.9342272","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9342272","EOG;power;EEG;AR parameters;sleep;wakefulness;coma;SVM;Higuchi fractal dimension;sample entropy","Electrooculography;Sleep;Databases;Feature extraction;Electroencephalography;Entropy;Fractals","","8","","17","IEEE","5 Feb 2021","10-13 Dec. 2020","10-13 Dec. 2020","IEEE","IEEE Conferences"
"Nonlinear Analysis of Anesthesia Dynamics by Fractal Scaling Exponent","P. Gifani; H. R. Rabiee; M. R. Hashemi; P. Taslimi; M. Ghanbari","Amirkabir University of Technology슠, Iran; AICTC, Sharif University of Technology, Iran; Department of Biomedical Engineering, Amirkabir University of Technology슠, Iran; AICTC, Sharif University of Technology, Iran; Department of Electronic Systems Engineering, University of Essex, UK",2006 International Conference of the IEEE Engineering in Medicine and Biology Society,"15 Dec 2016","2006","","","6225","6228","The depth of anesthesia estimation has been one of the most research interests in the field of EEG signal processing in recent decades. In this paper we present a new methodology to quantify the depth of anesthesia by quantifying the dynamic fluctuation of the EEG signal. Extraction of useful information about the nonlinear dynamic of the brain during anesthesia has been proposed with the optimum Fractal Scaling Exponent. This optimum solution is based on the best box sizes in the Detrended Fluctuation Analysis (DFA) algorithm which have meaningful changes at different depth of anesthesia. The Fractal Scaling Exponent (FSE) Index as a new criterion has been proposed. The experimental results confirm that our new Index can clearly discriminate between aware to moderate and deep anesthesia levels. Moreover, it significantly reduces the computational complexity and results in a faster reaction to the transients in patients' consciousness levels in relations with the other algorithms","1557-170X","1-4244-0032-5","10.1109/IEMBS.2006.260501","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4463231","","Anesthesia;Fractals;Electroencephalography;Fluctuations;Signal processing algorithms;Signal processing;Data mining;Algorithm design and analysis;Doped fiber amplifiers;Computational complexity","Algorithms;Anesthesia;Anesthesiology;Anesthetics;Brain;Electroencephalography;Fractals;Humans;Models, Statistical;Models, Theoretical;Nonlinear Dynamics;Signal Processing, Computer-Assisted","2","","9","IEEE","15 Dec 2016","30 Aug.-3 Sept. 2006","30 Aug.-3 Sept. 2006","IEEE","IEEE Conferences"
"Recognizing the consciousness states of DOC patients by classifying EEG signal","J. An; C. Weng; C. Wang; Z. Huang","College of Computer and Data Science, Fuzhou University, Fuzhou, China; Fujian Sanbo Funeng Brain Hospital, Fuzhou, China; Fujian Sanbo Funeng Brain Hospital, Fuzhou, China; College of Computer and Data Science, Fuzhou University, Fuzhou, China","2022 15th International Congress on Image and Signal Processing, BioMedical Engineering and Informatics (CISP-BMEI)","21 Dec 2022","2022","","","1","6","Chronic disorders of consciousness (DOC) refers to brain damage caused by various reasons, resulting in the reduction or loss of patients' ability to perceive the stimuli from the environment and themselves. DOC includes vegetative state / unresponsive wakefulness syndrome (VS/UWS) and minimally conscious state (MCS). Many researchers have done a lot of research on the automatic classification of VS and MCS patients. In this study, we proposed an automatic state classification method based on machine learning. Firstly, the EEG signal is extracted by feature measurement methods such as time domain, frequency domain, time-frequency domain, and nonlinear analysis, and a total of 34 kinds of the abovementioned features are extracted. Then an eXtreme Gradient Boosting (XGBoost) classifier is established based on the extracted feature vectors and applied to the collected dataset for state classification. The data set in this paper uses the EEG data of 12 patients (including DOC and normal state) collected by Fujian Sanbo Funeng Brain Hospital for experiments to verify the feasibility and effectiveness of the proposed method. The experimental results show that the classification accuracy of the proposed method for VS, MCS, and Normal state patients is 99.91%.","","978-1-6654-8887-7","10.1109/CISP-BMEI56279.2022.9980122","Natural Science Foundation of Fujian Province, China(grant numbers:2019J01242); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9980122","disorders of consciousness;vegetative state / unresponsive wakefulness syndrome;minimally conscious state;VS/UWS;MCS;XGBoost;EEG","Time-frequency analysis;Machine learning algorithms;Hospitals;Statistical analysis;Signal processing;Feature extraction;Market research","","","","30","IEEE","21 Dec 2022","5-7 Nov. 2022","5-7 Nov. 2022","IEEE","IEEE Conferences"
"Comparison of Adaptive and Fixed Segmentation in Different Calculation Methods of Electroencephalogram Time-series Entropy for Estimating Depth of Anesthesia","B. Ahmadi; R. Aimrfattahi; E. Negahbani; M. Mansouri; M. Taheri","Department of Electrical and Computer Engineering, Isfahan University of Technology, Isfahan, Iran; Department of Electrical and Computer Engineering, Isfahan University of Technology, Isfahan, Iran; Isfahan University of Medical Sciences, Isfahan, Iran; Isfahan University of Medical Sciences, Isfahan, Iran; Department of Electrical and Computer Engineering, Isfahan University of Technology, Isfahan, Iran",2007 6th International Special Topic Conference on Information Technology Applications in Biomedicine,"26 Dec 2007","2007","","","265","268","This paper proposes a combined method including adaptive segmentation and time-series Shannon entropy of electroencephalograms (EEG) to monitor depth of anesthesia (DOA). The entropy of a single channel EEG was computed through various methods of quantization. These methods are different in number of bins associated to the whole range of amplitude. The EEG data was captured in both ICU and operating room and different anesthetic drugs, including propofol and isoflurane were used. Due to the non-stationary nature of EEG signal, adaptive segmentation methods seem to have better results. Our adaptive windowing methods consist of variance and auto correlation (ACF) based methods. We have compared the results of fixed and adaptive windowing in different methods of calculating entropy in order to estimate DOA. Coefficient of determination (R ) was used as a measure of correlation between the predictors and BIS index to evaluate our proposed methods. The results show that entropy decreases with decreasing DOA. In ICU, our proposed method reveals better performance than previous works. In both ICU and operating room, the results indicate the superiority of our method, especially applying adaptive segmentation. The mixture of adaptive windowing methods with different methods of calculating entropy would result in an outstanding performance.","","978-1-4244-1867-1","10.1109/ITAB.2007.4407398","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4407398","Adaptive segmentation;Bispectral index;depth of anesthesia;fixed windowing;time-series Shannon entropy","Entropy;Anesthesia;Electroencephalography;Anesthetic drugs;Data mining;Computerized monitoring;Direction of arrival estimation;Patient monitoring;Surgery;Biomedical monitoring","","","","8","IEEE","26 Dec 2007","8-11 Nov. 2007","8-11 Nov. 2007","IEEE","IEEE Conferences"
"Utilizing Slope Entropy as an Effective Index for Wearable EEG-Based Depth of Anesthesia Monitoring","M. Shahbakhti; M. Beiramvand; S. M. Far; J. Solé-Casals; T. Lipping; P. Augustyniak","Biomedical Engineering Institute, Kaunas University of Technology, Kaunas, Lithuania; Faculty of Information Technology and Communication, Tampere University, Tampere, Finland; Department of Biocybernetics and Biomedical Engineering, AGH University of Krakow, Krakow, Poland; Data and Signal Processing Research Group, University of Vic–Central University of Catalonia, Vic, Spain; Faculty of Information Technology and Communication, Tampere University, Tampere, Finland; Department of Biocybernetics and Biomedical Engineering, AGH University of Krakow, Krakow, Poland",2024 46th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),"17 Dec 2024","2024","","","1","4","Based on prior research indicating a decrease in the spectral slope of electroencephalogram (EEG) during anesthesia induction and an increase during recovery, we propose Slope Entropy (SlopEn), which uniquely emphasizes variations in signal slope, as a new index for monitoring the depth of anesthesia (DoA). The performance of SlopEn is investigated on just a single frontal EEG channel and is compared against other well-known entropy metrics utilized in the field. After filtering the EEG signal, four types of entropy, including SlopEn, are derived from all EEG sub-bands and separately inputted to a regressor for estimating DoA index values. Comparing the results obtained using SlopEn with those from the Sample entropy demonstrates the superiority of the former, achieving a higher correlation coefficient (0.75 vs. 0.63) and a lower median absolute error (4.2 vs. 6.2) between the estimated and reference DoA index values. These findings establish that the SlopEn has the potential to become a valuable index for DoA monitoring using single frontal channel EEG systems.","2694-0604","979-8-3503-7149-9","10.1109/EMBC53108.2024.10782706","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10782706","","Measurement;Correlation coefficient;Direction-of-arrival estimation;Filtering;Anesthesia;Entropy;Electroencephalography;Indexes;Engineering in medicine and biology;Monitoring","Electroencephalography;Humans;Entropy;Anesthesia;Wearable Electronic Devices;Signal Processing, Computer-Assisted;Algorithms","2","","12","IEEE","17 Dec 2024","15-19 July 2024","15-19 July 2024","IEEE","IEEE Conferences"
"Neural Oscillations and Synchronous Analysis in ECoG during Propofol Anesthesia","X. Jin; Z. Liang; X. Li","School of Artificial Intelligence, Xidian University, Xi'an; Department of Electrical Engineering, Yanshan University, Qinhuangdao; School of Artificial Intelligence, Xidian University, Xi'an",2022 41st Chinese Control Conference (CCC),"11 Oct 2022","2022","","","3080","3084","The neurophysiological mechanisms of anesthetic-induced loss of unconsciousness (LOC) have been extensively investigated at the macro scale. When it comes to the cortical scale, however, it still remains unclear how the cortical network and the information integration mode change during propofol anesthesia. In this study, we analyzed ECoG data recorded from surgical patients ($\mathrm{n}=9$) with pharmaco-resistant epilepsy during the surgical treatment. We employed the modulation index (MI) to measure the slow oscillation (SO) (0.15-1 Hz)-$\alpha$ (8-13 Hz) phase-amplitude coupling (PAC) of wakefulness to unconsciousness during propofol induced general anesthesia. A method of synchronization measure phase-lag entropy of the diversity of temporal patterns in the phase relationships between two time series was also use to analyze the ECoG changes during propofol anesthesia. Then a genetic algorithm-based support vector machine (GA-SVM) was used to classify the states of consciousness based on the extracted features. The result show that the modulation index of PAC increased in the unconscious state ($\mathrm{p} < 0.001$, t-test), and the PLE decreased significantly after loss of consciousness ($\mathrm{p} < 0.001$, t-test). The GA-SVM showed that the integration of MI and PLE had the highest classification accuracy (93.4%). Our findings provide insight into the couplings of neural oscillations as measures for investigating consciousness by ECoG signals, and also bridge the gap between micro (local field potential) and the macro (electroencephalogram) scale in investigating consciousness during propofol-induced general anesthesia.","1934-1768","978-988-75815-3-6","10.23919/CCC55666.2022.9902624","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9902624","ECoG;Phase-amplitude coupling;Phase-lag entropy;Support vector machine","Support vector machines;Couplings;Phase measurement;Neural activity;Surgery;Modulation;Anesthesia","","","","17","","11 Oct 2022","25-27 July 2022","25-27 July 2022","IEEE","IEEE Conferences"
"Analyzing autocorrelation fluctuation of EEG signal for estimating depth of anesthesia","T. Zoughi; R. Boostani","Computer Science, Engineering and IT Department, Faculty of Electrical and Computer Engineering, Shiraz University, Shiraz, Iran; Computer Science, Engineering and IT Department, Faculty of Electrical and Computer Engineering, Shiraz University, Shiraz, Iran",2010 18th Iranian Conference on Electrical Engineering,"8 Jul 2010","2010","","","24","29","In each surgical operation, monitoring the depth of anesthesia is vital for anesthesiologists to control this depth during the surgery. Several methods have been suggested to determine quantitative indices for depth of anesthesia but most of these methods suffer from high sensitivity of their indices during the surgery. In this paper, to make the index more robust, a beneficial Electroencephalogram (EEG) signal preprocessing method is proposed. Additionally, an efficient method is proposed to estimate the depth index during the surgery. In the signal preprocessing the signal amplitude is normalized by the signal energy in each epoch and the effect of signal amplitude is declined. After this preprocessing, EEG signal is analyzed by autocorrelation to evaluate amount of self-similarity. Then fractal dimensions are used to interpret autocorrelation content. Experimental results have shown that applying the proposed preprocessing and method to EEG signals of 1870 epochs during the surgery can precisely classify the awake, moderate and deep anesthesia levels. Moreover, our real-time approach leads to increase the depth index robustness and provides similar results to the Bispectral index (BIS).","2164-7054","978-1-4244-6760-0","10.1109/IRANIANCEE.2010.5507110","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5507110","component;Autocorrelation;BIS index;Depth of Anesthesia;EEG signal;Fractal dimension","Signal analysis;Autocorrelation;Fluctuations;Electroencephalography;Anesthesia;Surgery;Anesthetic drugs;Fractals;Computer science;Robustness","","2","","10","IEEE","8 Jul 2010","11-13 May 2010","11-13 May 2010","IEEE","IEEE Conferences"
"Functional Connectivity Analysis in Multi-channel EEG for Emotion Detection with Phase Locking Value and 3D CNN","M. Islam; T. Lee","Department of Electronic Engineering, The Chinese University of Hong Kong, Hong Kong; Department of Electronic Engineering, The Chinese University of Hong Kong, Hong Kong",2023 45th Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),"11 Dec 2023","2023","","","1","4","The noise-assisted multivariate Empirical mode decomposition (NA-MEMD) is applied to multi-channel EEG signals to obtain narrow-band scale-aligned intrinsic mode functions (IMFs) upon which functional connectivity analysis is performed. The connectivity pattern in relation to inherent functional activity of brain is estimated with the phase locking value (PLV). Instantaneous phase difference among different EEG channels gives PLV that is used to build the functional connectivity map. The connectivity map yields spatial-temporal feature representation which is taken as input of the proposed emotion detection system. The spatial-temporal features can be learned with a 3D convolutional neural network for classifying emotion states. The proposed system is evaluated on two publicly available DEAP and SEED dataset for binary and multi-class emotion classification. On detecting low versus high level in the valence and arousal dimensions, the attained accuracy values are 97.37% and 96.26% respectively. Meanwhile, this system yields 94.78% and 99.54% accuracy on multi-class task on DEAP and SEED, which outperform previously reported systems with other deep learning models and conventional EEG features.","2694-0604","979-8-3503-2447-1","10.1109/EMBC40787.2023.10340922","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10340922","emotion;functional connectivity;IMF;PLV;spatial-temporal feature;3D CNN","Emotion recognition;Solid modeling;Three-dimensional displays;Phase measurement;Feature extraction;Brain modeling;Electroencephalography","Electroencephalography;Emotions;Brain;Neural Networks, Computer;Arousal","2","","22","IEEE","11 Dec 2023","24-27 July 2023","24-27 July 2023","IEEE","IEEE Conferences"
"A comparison of different classification algorithms for determining the depth of anesthesia level on a new set of attributes","A. Arslan; B. Şen; F. V. Çelebi; M. Peker; A. But","Department of Computer Engineering, Yildmm Beyazrt University, Ankara, Turkey; Department of Computer Engineering, Yildmm Beyazrt University, Ankara, Turkey; Ankara Yildirim Beyazit Universitesi, Ankara, Ankara, TR; Department of Information Technology, Samandira Vocational and Technical Anatolian High School, Istanbul, Turkey; Department of Anesthesiology and Reanimation, Yildirim Beyazit University, Ankara, Turkey",2015 International Symposium on Innovations in Intelligent SysTems and Applications (INISTA),"28 Sep 2015","2015","","","1","7","The effect of anesthesia on patient is expressed as the depth of anesthesia. The detection of appropriate depth of anesthesia is a matter of great importance in surgery. Too deep or too little anesthesia implementation may lead to many psychological and physical disorders on patients. Therefore it is necessary to keep the patient at the most appropriate level of anesthesia. This process is important and challenging operation. In this study, a system is proposed which can be used to determine the depth of anesthesia in order to assist physician. Anesthetic substances significantly affect the cortex of the brain. There are studies for determination of depth of anesthesia by monitoring of brain activity. In this study, EEG signals that reflect the brain activity are utilized to measure the depth of anesthesia. The study consists of feature extraction and classification stages of the EEG signal. In the feature extraction stage, a new attribute set consisting of 44 attributes in different categories was obtained. In this way, it is aimed to create an effective set of attributes that can represent EEG signals. The obtained attributes were used as input parameters for classification algorithms. In classification stage, the classification problem is classified by seven different classification algorithms. In this way, comparison of calculation time and accuracy for obtained results in different classification algorithms was provided. With the proposed method for the determination of different depth of anesthesia, 98.169% classification accuracy was achieved.","","978-1-4673-7751-5","10.1109/INISTA.2015.7276738","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7276738","EEG;Feature Extraction;Classification;Anesthesia;Performance Evaluation","Anesthesia;Electroencephalography;Classification algorithms;Feature extraction;Indexes;Entropy;Band-pass filters","","8","","8","IEEE","28 Sep 2015","2-4 Sept. 2015","2-4 Sept. 2015","IEEE","IEEE Conferences"
"Cross-recurrence rate for discriminating ‘concious’ and ‘unconcious’ state in propofol general anesthesia","N. Nicolaou; J. Georgiou; S. Hourris; P. Alexandrou","Holistic Electronics Research Laboratory, University of Cyprus, Nicosia, Cyprus; KIOS Research Laboratory, University of Cyprus, Nicosia, Cyprus; Nicosia General Hospital, Nicosia, Cyprus; Nicosia General Hospital, Nicosia, Cyprus",2011 IEEE Biomedical Circuits and Systems Conference (BioCAS),"19 Dec 2011","2011","","","416","419","This paper introduces the use of cross recurrence rate (CRR) for discriminating between `conscious' and `unconscious' state from the electrical brain activity (EEG) of patients under general anesthesia. CRR measures the bivariate dependencies between two time series by looking at recurrences of the phase space from one system to the other. Here, the feasibility of pairwise electrode CRR to discriminate `conscious' and `unconscious' state is investigated using the EEG of 10 subjects during recovery of consciousness from general anesthesia with propofol. Performance is investigated with a Support Vector Machine. An average accuracy of 98% is obtained.","2163-4025","978-1-4577-1470-2","10.1109/BioCAS.2011.6107816","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6107816","","Anesthesia;Electroencephalography;Surgery;Time series analysis;Support vector machines;Electrodes;Monitoring","","","","9","IEEE","19 Dec 2011","10-12 Nov. 2011","10-12 Nov. 2011","IEEE","IEEE Conferences"
"Approximate Entropy and Wavelet Entropy based Depth of Anesthesia monitoring","Benzy VK; Jasmin EA; R. C. Koshy","Dept. of Electrical Engineering, Govt. Engineering College, Thrissur; Dept. of Electrical Engineering, Govt. Engineering College, Thrissur; Dept. Of Anesthesiology, Regional Cancer Center, Trivandrum",2015 International Conference on Control Communication & Computing India (ICCC),"14 Mar 2016","2015","","","371","374","This study aims to measure Depth of Anesthesia(DoA) using non linear Electroencephalogram (EEG) signal analysis and Wavelet Analysis during anesthesia. Two features Approximate Entropy(ApEn) and Wavelet Entropy(WE) of the EEG signals were extracted as a measure of DoA from the EEG signals during four phases of general anesthesia called awake, induction, maintenance and recovery. In order to find out wavelet entropy, EEG signals during anesthesia were decomposed into its constituent frequency bands, then WE is calculated from the approximation and detail coefficients. Approximate Entropy is calculated from the respective algorithm. Finally these two extracted DoA measures were compared with BIS index, which is a commercially available DoA monitor.","","978-1-4673-7349-4","10.1109/ICCC.2015.7432923","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7432923","","Electroencephalography;Anesthesia;Entropy;Monitoring;Maintenance engineering;Wavelet transforms;Wavelet analysis","","5","","19","IEEE","14 Mar 2016","19-21 Nov. 2015","19-21 Nov. 2015","IEEE","IEEE Conferences"
"EEG biomarker of Sleep Apnoea using discrete wavelet transform and approximate entropy","S. A. M. Usak; S. Sugiman; N. A. S. Sha'ari; M. Kaneson; H. Abdullah; N. M. Noor; C. R. Patti; C. Dissanyaka; D. Cvetkovic","Universiti Teknologi Malaysia, Skudai, Johor, MY; Electronic System Engineering, Universiti Teknologi Malaysia Kuala, Lumpur, Malaysia; Universiti Teknologi Malaysia, Skudai, Johor, MY; Electronic System Engineering, Universiti Teknologi Malaysia Kuala, Lumpur, Malaysia; Razak School of Engineering and Advanced Technology, Universiti Teknologi Malaysia Kuala, Lumpur, Malaysia; Razak School of Engineering and Advanced Technology, Universiti Teknologi Malaysia Kuala, Lumpur, Malaysia; School of Engineering, RMIT University, Melbourne, Australia; School of Engineering, RMIT University, Melbourne, Australia; School of Engineering, RMIT University, Melbourne, Australia",2017 IEEE International Conference on Signal and Image Processing Applications (ICSIPA),"30 Nov 2017","2017","","","330","334","Sleep Apnoea Syndromes (SAS) is a sleep disorder which caused breathing pauses during sleep at night. There is various method of analyzing sleep EEG signals can be found in the literature. In this paper both linear; Discrete Wavelet Transform (DWT) and non-linear; Approximate Entropy (ApEn) extraction methods were performed to differentiate features of each sleep stages between apnoea and healthy person. The efficiency of both extraction methods was compared by using ANOVA. In our study, we observed the non-linear feature of ApEn improves the ability to discriminate healthy and sleep apnoea at different sleep stages.","","978-1-5090-5559-3","10.1109/ICSIPA.2017.8120631","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8120631","EEG biomarker;discrete wavelet transform;approximate entropy;apnoea","Electroencephalography;Discrete wavelet transforms;Sleep apnea;Analysis of variance;Feature extraction","","1","","12","IEEE","30 Nov 2017","12-14 Sept. 2017","12-14 Sept. 2017","IEEE","IEEE Conferences"
"Bicoherence of EEG can be used to differentiate anesthetic levels","R. C. Watt; C. Sisemore; A. Kanemoto; J. S. Polson","Advanced Biomedical Engineering Laboratory, Department of Anesthesiology, University of Arizona Tucson, Tucson, AZ, USA; Advanced Biomedical Engineering Laboratory, Department of Anesthesiology, University of Arizona Tucson, Tucson, AZ, USA; Advanced Biomedical Engineering Laboratory, Department of Anesthesiology, University of Arizona Tucson, Tucson, AZ, USA; Advanced Biomedical Engineering Laboratory, Department of Anesthesiology, University of Arizona Tucson, Tucson, AZ, USA",Proceedings of 18th Annual International Conference of the IEEE Engineering in Medicine and Biology Society,"6 Aug 2002","1996","5","","2035","2036 vol.5","Incidents of intra-operative awareness can result in severe, long-lasting post-traumatic distress syndrome. Fine tuning ""depth of anesthesia"" is clearly a desirable objective to prevent underdosing and overdosing. Various EEG derived variables have been used toward this objective with some success, and recent advances in computer technology have made bispectral analysis feasible for implementation in a real-time clinical monitor. Bispectral analysis is a sophisticated tool (capable of detecting inter-frequency phase-coherence) which the authors have applied to characterization of the EEG during anesthesia. In this study artificial neural networks (ANN) were used with bispectral analysis patterns for classification of EEG during propofol anesthesia with intentional ""awareness incidents."".","","0-7803-3811-1","10.1109/IEMBS.1996.646415","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=646415","","Electroencephalography;Anesthetic drugs;Anesthesia;Artificial neural networks;Pattern analysis;Frequency;Surgery;Phase measurement;Pattern recognition;Spectral analysis","","","","4","IEEE","6 Aug 2002","31 Oct.-3 Nov. 1996","31 Oct.-3 Nov. 1996","IEEE","IEEE Conferences"
"Phase Synchronization in Sleep Electroencephalogram","A. He; X. Yang; X. Yang; X. Ning","Department of Electronic Science and Engineering, Nanjing University, Nanjing, China; Department of Electronic Science and Engineering, Nanjing University, Nanjing, China; Department of Electronic Science and Engineering, Nanjing University, Nanjing, China; Department of Electronic Science and Engineering, Nanjing University, Nanjing, China",2007 IEEE/ICME International Conference on Complex Medical Engineering,"12 Nov 2007","2007","","","1421","1424","The EEG signals are highly subjective and the information about the various states may appear at random in the time scale. Therefore, EEG signal parameters, extracted and analyzed using computers, are highly useful in diagnostics. The EEG signals are so complicated that traditional methods for nonlinear dynamic analysis, such as correlation dimension, Lyapunov exponent, detrended fluctuation analysis, cannot fully characterize their nature. In this paper, the sleep EEG data analysis is carried out using phase synchronization method. At first, the algorithm is introduced. Then, a discussion is made on its merits and dismerits. For 8 healthy volunteers without any medication, analysis of EEG using phase synchronization is performed. Results show that the phase synchronization index of EEG signals during sleep process can correctly affect sleep deepness, and accord with the results of sleep stage by expert.","","978-1-4244-1077-4","10.1109/ICCME.2007.4381979","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4381979","","Sleep;Electroencephalography;Signal analysis;Medical diagnostic imaging;Chaotic communication;Data mining;Fluctuations;Data analysis;Brain;Fractals","","3","","16","IEEE","12 Nov 2007","23-27 May 2007","23-27 May 2007","IEEE","IEEE Conferences"
"Spectral features of electroencephalogram in characterizing various brain states under anesthesia","E. E. Kang; O. C. Zalay; H. E. Beheiry; J. Wong; M. del Campo; P. L. Carlen; B. L. Bardakijan","Institute of Biomaterials and Biomedical Engineering, University of Toronto, Toronto, ON, CANADA; Institute of Biomaterials and Biomedical Engineering, University of Toronto, Toronto, ON, CANADA; University Health Network, Trillium Health Center, Mississauga, ON, CANADA; University Health Network, Toronto, ON, CANADA; University Health Network, Toronto, ON, CANADA; University Health Network, Toronto, ON, CANADA; Institute of Biomaterials and Biomedical Engineering, University of Toronto, Toronto, ON, CANADA",2011 Annual International Conference of the IEEE Engineering in Medicine and Biology Society,"1 Dec 2011","2011","","","3099","3102","The administration of the anesthetic agents is known to alter the electroencephalogram (EEG) signal significantly with the brain being their primary target. In this study, we analyzed the EEG recorded from six ASA I/II patients undergoing a 1-2 hour surgery. The EEG was collected before and during induction, maintenance and recovery of anesthesia using the 10/20 lead-system. A combination of fentanyl and propofol (±rocuronium) was used for induction and a Sevoflurane in air/O2 mixture was administered through an endotracheal tube to achieve the steady minimum alveolar concentration (MAC). This study showed that 0 to 4 Hz signal power was most sensitive to the changes associated with induction of anesthesia whereas the 4 to 12 Hz power was important in classifying states during maintenance of anesthesia. Anesthesia also promoted heightened phase coherence in 8 to 16 Hz and 16 to 30 Hz ranges during maintenance and induction of anesthesia, respectively. Additionally, strong cross-frequency coupling between 7 to 20 Hz and 10 to 40 Hz was observed during anesthesia suggesting alteration of neural coding.","1558-4615","978-1-4577-1589-1","10.1109/IEMBS.2011.6090846","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6090846","","Anesthesia;Electroencephalography;Coherence;Electrodes;Indexes;Maintenance engineering;Couplings","Anesthesia;Brain;Electroencephalography;Humans","","","13","IEEE","1 Dec 2011","30 Aug.-3 Sept. 2011","30 Aug.-3 Sept. 2011","IEEE","IEEE Conferences"
